PersonID,EAR,BlinkCount,MAR,YawnCount,EyeClosedSeconds,HeadDirection,Emotion,Timestamp
p8,0.392,2,0.003,0,0,Up,NEUTRAL,10:23:37
p8,0.442,2,0.004,0,0,Up,NEUTRAL,10:23:39
p8,0.433,2,0.004,0,0,Up,NEUTRAL,10:23:41
p8,0.428,2,0.004,0,0,Up,NEUTRAL,10:23:43
p8,0.311,3,0.634,1,0,Up,YAWNING,10:23:45
p8,0.416,3,0.26,7,0,Up,NEUTRAL,10:23:47
p8,0.472,3,0.008,7,0,Up,NEUTRAL,10:23:49
p8,0.428,3,0.008,7,0,Up,NEUTRAL,10:23:51
p8,0.53,3,0.012,7,0,Up,NEUTRAL,10:23:53
p8,0.396,3,0.001,7,0,Up,NEUTRAL,10:23:55
p9,0.406,0,0.002,0,0,Down,NEUTRAL,10:24:41
p9,0.396,0,0.351,0,0,Down,NEUTRAL,10:24:43
p9,0.351,0,0.188,0,0,Up,NEUTRAL,10:24:45
p9,0.404,0,0.368,0,0,Up,NEUTRAL,10:24:47
p9,0.394,0,0.285,0,0,Up,NEUTRAL,10:24:49
p9,0.516,0,0.012,0,0,Left,NEUTRAL,10:24:51
p9,0.393,0,0.006,0,0,Up,NEUTRAL,10:24:53
p9,0.347,0,0.01,0,0,Up,NEUTRAL,10:24:55
p9,0.363,0,0.001,0,0,Up,NEUTRAL,10:24:57
p9,0.248,1,0.003,0,0,Up,BLINK_DETECTED,10:24:59
p9,0.372,1,0.004,0,0,Up,NEUTRAL,10:25:01
p9,0.306,5,0.002,0,0,Up,NEUTRAL,10:25:03
p9,0.296,8,0.002,0,0,Up,NEUTRAL,10:25:05
p9,0.278,11,0.002,0,0,Up,NEUTRAL,10:25:07
p9,0.338,15,0.001,0,0,Up,NEUTRAL,10:25:09
p9,0.403,15,0.002,0,0,Up,NEUTRAL,10:25:11
p9,0.352,15,0.093,1,0,Up,NEUTRAL,10:25:13
p9,0.324,15,0.002,1,0,Up,NEUTRAL,10:25:15
p9,0.295,15,0.067,1,0,Up,NEUTRAL,10:25:17
p9,0.263,16,0.003,1,0,Up,NEUTRAL,10:25:19
p9,0.35,19,0.007,1,0,Up,NEUTRAL,10:25:21
p9,0.376,19,0.002,1,0,Up,NEUTRAL,10:25:23
p9,0.311,20,0.251,1,0,Up,NEUTRAL,10:25:25
p9,0.394,20,0.001,1,0,Up,NEUTRAL,10:25:27
p9,0.376,20,0.003,1,0,Up,NEUTRAL,10:25:29
p10,0.309,0,0.021,0,0,Up,NEUTRAL,10:25:59
p10,0.482,0,0.843,1,0,Left,SURPRISED,10:26:01
p10,0.323,0,0.369,2,0,Up,NEUTRAL,10:26:06
p10,0.384,0,0.008,2,0,Up,NEUTRAL,10:26:08
p10,0.371,0,0.01,2,0,Up,NEUTRAL,10:26:10
p10,0.435,0,0.009,2,0,Up,NEUTRAL,10:26:12
p10,0.401,0,0.006,2,0,Up,NEUTRAL,10:26:14
p10,0.474,0,0.019,2,0,Down,NEUTRAL,10:26:16
p10,0.355,0,0.541,2,0,Down,HAPPY,10:26:18
p10,0.373,0,0.306,2,0,Down,NEUTRAL,10:26:20
p10,0.341,0,0.012,2,0,Down,NEUTRAL,10:26:22
p10,0.382,0,0.893,2,0,Down,SURPRISED,10:26:24
p10,0.374,0,0.232,3,0,Down,NEUTRAL,10:26:26
p10,0.37,1,0.332,3,0,Down,NEUTRAL,10:26:28
p10,0.436,4,0.008,3,0,Down,NEUTRAL,10:26:30
p10,0.401,5,0.002,3,0,Down,NEUTRAL,10:26:32
p10,0.304,6,0.003,3,0,Down,NEUTRAL,10:26:34
p10,0.416,7,0.751,3,0,Down,SURPRISED,10:26:36
p10,0.394,7,0.251,4,0,Down,NEUTRAL,10:26:38
p10,0.342,7,0.302,4,0,Down,NEUTRAL,10:26:40
p10,0.252,7,0.279,4,0,Down,NEUTRAL,10:26:42
p11,0.3,0,0.014,0,0,Up,NEUTRAL,10:27:00
p11,0.372,0,0.014,0,0,Down,NEUTRAL,10:27:02
p11,0.407,0,0.008,0,0,Down,NEUTRAL,10:27:04
p11,0.394,0,0.001,0,0,Down,NEUTRAL,10:27:06
p11,0.348,0,0.002,0,0,Down,NEUTRAL,10:27:08
p11,0.424,0,0.266,0,0,Down,NEUTRAL,10:27:10
p11,0.373,0,0.231,0,0,Down,NEUTRAL,10:27:12
p11,0.162,0,0.001,0,1.85,Down,TIRED,10:27:14
p11,0.154,0,0.003,0,3.87,Down,TIRED,10:27:16
p11,0.12,0,0.002,0,5.89,Down,TIRED,10:27:18
p11,0.611,1,0.015,0,0,Left,NEUTRAL,10:27:20
p11,0.425,1,0.001,0,0,Down,NEUTRAL,10:27:22
p11,0.565,1,0.013,0,0,Left,NEUTRAL,10:27:24
p11,0.32,1,0.587,0,0,Down,NEUTRAL,10:27:26
p11,0.3,1,0.004,1,0,Down,NEUTRAL,10:27:28
p11,0.355,1,1.014,1,0,Down,SURPRISED,10:27:30
p11,0.355,1,0.011,2,0,Down,NEUTRAL,10:27:32
p11,0.467,1,0.181,2,0,Down,NEUTRAL,10:27:35
